Chemical name	Distance (lower = more similar)
Perfluorododecanesulfonic acid (PFDOS)	0
1,1,2,2-tetrafluoroethanesulfonic Acid	0
1,1,2,3,3,3-hexafluoropropanesulfonic acid	0
Difluoromethanesulphonic acid	0
Perfluorononanesulfonic acid	0
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-	0
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-	0
Trifluoromethanesulfonic acid	0
PFDS	0
PFHxS	0
1-Perfluorobutanesulfonic acid	0
PFOS	0
1,1,2,3,3,3-Hexafluoro-2-(trifluoromethyl)propanesulphonic acid	1
Trichloromethanesulfonic acid	2
Dimethiodal	2
Tribromomethanesulfonic acid	2
Perfluorobutanesulfonate	3
Nonadecafluorononane-1-sulfonate	3
Perfluorohexanesulfonate	3
Perfluorodecanesulfonate	3
Trifluoromethanesulfonic acid--water (2/1)	3
1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoronon-1-ene-1-sulfonic acid	3
Silyl trifluoromethanesulfonate	3
Trifluoromethanesulfonic acid--water (1/5)	3
Trifluoromethanesulfonic acid--water (1/4)	3
Trifluoromethanesulfonic acid--water (1/6)	3
Trifluoromethanesulfonic acid--difluoroxenon (1/1)	3
Octafluorobutane-1,4-disulfonic acid--water (1/2)	3
1,1,2,2,3-Pentafluoropropane-1-sulfonic acid	3
Trifluoromethanesulfonic acid--water (1/1)	3
Silyl nonafluorobutane-1-sulfonate	3
4-(Chlorosulfonyl)-1,1,2,2,3,3,4,4-octafluorobutane-1-sulfonic acid	3
Ethanesulfonic acid, 1-chloro-	3
Perfluorooctanesulfonate	3
Trifluoromethanesulfonate	3
Fluorosulfonic acid	3
3,3-Dichloroprop-1-ene-1-sulfonic acid	4
Pentafluoroethyl trifluoromethanesulfonate	4
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonic acid	4
Octafluorobutane-1,4-disulfinic acid	4
1,1,3,3,3-Pentafluoro-2-oxopropane-1-sulfonic acid	4
1,1,2,2-Tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonic acid	4
Difluoromethyl difluoromethanesulfonate	4
trifluoromethyl trifluoromethanesulfonate	4
1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, ammonium salt	4
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, ammonium salt	4
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, ammonium salt	4
1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, ammonium salt	4
1-Nonanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluoro-, ammonium salt	4
Trifluoromethanesulfonic acid--manganese (2/1)	5
2,2,3,3-Tetrafluoro-3-sulfopropanoic acid	5
Sulfuriodidic acid	5
Sulfurobromidic acid	5
3-(Trifluoromethyl)benzene-1-sulfonic acid	5
2,2,3,3,4,4-Hexafluoro-4-sulfobutanoic acid	5
2,2'-Oxybis(tetrafluoroethane-1-sulfonic acid)	5
Methylsulfenyl trifluoromethanesulfonate	5
1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulphonic anhydride	5
Fluorosulfate radical	5
Ethanesulfonic acid, 2,2,2-trifluoro-	5
Chlorosulfuric acid	5
Tetrasulfane-1-sulfonic acid	6
1-Fluoro-3-hydroxy-1,1,3,3-tetraoxo-1lambda~6~,3lambda~6~-dithioxane	6
Cerium(3+) trifluoromethanesulfonate--water (1/3/1)	6
Lanthanum trifluoromethanesulfonate--water (1/3/1)	6
Cerium(4+) trifluoromethanesulfonate--water (1/4/1)	6
Yttrium trifluoromethanesulfonate--water (1/3/1)	6
Buta-1,3-diene-1-sulfonic acid	6
Ytterbium(3+) trifluoromethanesulfonate--water (1/3/1)	6
Sodium trifluoromethanesulfonate	6
Potassium trifluoromethanesulfonate	6
Sodium heptadecafluorooctane-1-sulfonate	6
Lithium nonafluorobutane-1-sulfonate	6
Sodium 1,1,2,3,3,3-hexafluoropropane-1-sulfonate	6
Ammonium trifluoromethanesulfonate	6
3-Fluorobenzene-1-sulfonic acid	6
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfinic acid	6
vinyl triflate	6
Propane, 1,1,1,2,3,3,3-heptafluoro-2-[(trifluoromethyl)sulfonyl]-	6
Vinyl nonafluoro-1-butanesulfonate	6
Fluorosulfate	6
Methyl nonaflate	6
Cyclohexanesulfonicacid, 1,2,2,3,3,4,5,5,6,6-decafluoro-4-(1,1,2,2,2-pentafluoroethyl)-	6
Cyclohexanesulfonic acid, decafluoro(trifluoromethyl)-	6
Potassium 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-pentacosafluorododecane-1-sulphonate	6
Diiodomethanedisulfonic acid	6
2,2-Diiodo-1,1-ethanedisulfonic acid	6
4-Fluorobenzenesulphonic acid	6
Potassium henicosafluorodecanesulphonate	6
Propane-2-sulphonic acid	6
Ethane, 1,1'-sulfonylbis[1,1,2,2,2-pentafluoro-	6
1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-, ammonium salt	6
1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-, ammonium salt	6
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, lithium salt	6
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, potassium salt	6
Methanesulfonic acid, trifluoro-, silver(1+) salt	6
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, potassium salt	6
Methyl trifluoromethanesulfonate	6
Ethenesulfonic acid	6
Lithium trifluoromethanesulfonate	6
PFOS-K	6
PFBS-K	6
PFHS-K	6
Lithium perfluorooctane sulfonate	6
Methanesulfonic acid	6
1,2-Bis(trifluoromethanesulfonyl)ethene	7
Sulfuric acid--trifluoromethanol (1/2)	7
2,2,3,3,4,4-Hexafluoro-4-sulfinobutanoic acid	7
(~13~C)Methyl trifluoromethanesulfonate	7
3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononane-1-sulfonic acid	7
Holmium tris(trifluoromethanesulfonate)	7
Dodecafluorohexane-1,6-disulfonyl difluoride	7
(~2~H_3_)Methyl trifluoromethanesulfonate	7
Octafluorobutane-1,4-disulfonyl difluoride	7
1,2,2,3,3,4-Hexafluorobutane-1,4-disulfonyl difluoride	7
1,1,2,2-Tetrafluoro-2-(2,2,2-trifluoroethoxy)ethane-1-sulfonic acid	7
1,1,2,2,3,3-Hexafluoropropyl sulfurofluoridate	7
2,2,3,3-Tetrafluoro-3-(fluorosulfonyl)propanoyl fluoride	7
2,2,3,3-Tetrafluoropropyl difluoromethanesulfonate	7
Difluoromethanesulfonyl fluoride	7
1,2,2,3-Tetrafluoropropane-1,3-disulfonyl difluoride	7
Fluoro[tris(trifluoromethanesulfonyl)]methane	7
1,2,2,3,3,4,4,5,5,6-Decafluorohexane-1,6-disulfonyl difluoride	7
1,1,2,2-Tetrafluoro-2-hydroxyethane-1-sulfonyl fluoride	7
Heptafluoropropyl sulfurofluoridate	7
Terbium(III) trifluoromethanesulfonate	7
Iron(III) trifluoromethanesulfonate	7
