Chemical name	Distance (lower = more similar)
Perfluorododecanesulfonic acid (PFDOS)	0
1,1,2,2-tetrafluoroethanesulfonic Acid	0
1,1,2,3,3,3-hexafluoropropanesulfonic acid	0
Perfluorononanesulfonic acid	0
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-	0
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-	0
PFDS	0
PFHxS	0
1-Perfluorobutanesulfonic acid	0
PFOS	0
1,1,2,3,3,3-Hexafluoro-2-(trifluoromethyl)propanesulphonic acid	1
Perfluorobutanesulfonate	3
Nonadecafluorononane-1-sulfonate	3
Perfluorohexanesulfonate	3
Perfluorodecanesulfonate	3
1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoronon-1-ene-1-sulfonic acid	3
Octafluorobutane-1,4-disulfonic acid--water (1/2)	3
1,1,2,2,3-Pentafluoropropane-1-sulfonic acid	3
Silyl nonafluorobutane-1-sulfonate	3
4-(Chlorosulfonyl)-1,1,2,2,3,3,4,4-octafluorobutane-1-sulfonic acid	3
Perfluorooctanesulfonate	3
Pentafluoroethyl trifluoromethanesulfonate	4
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonic acid	4
Octafluorobutane-1,4-disulfinic acid	4
1,1,2,2-Tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonic acid	4
1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, ammonium salt	4
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, ammonium salt	4
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, ammonium salt	4
1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, ammonium salt	4
1-Nonanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluoro-, ammonium salt	4
2,2,3,3-Tetrafluoro-3-sulfopropanoic acid	5
2,2,3,3,4,4-Hexafluoro-4-sulfobutanoic acid	5
2,2'-Oxybis(tetrafluoroethane-1-sulfonic acid)	5
1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulphonic anhydride	5
Sodium heptadecafluorooctane-1-sulfonate	6
Lithium nonafluorobutane-1-sulfonate	6
Sodium 1,1,2,3,3,3-hexafluoropropane-1-sulfonate	6
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfinic acid	6
Propane, 1,1,1,2,3,3,3-heptafluoro-2-[(trifluoromethyl)sulfonyl]-	6
Vinyl nonafluoro-1-butanesulfonate	6
Methyl nonaflate	6
Cyclohexanesulfonicacid, 1,2,2,3,3,4,5,5,6,6-decafluoro-4-(1,1,2,2,2-pentafluoroethyl)-	6
Cyclohexanesulfonic acid, decafluoro(trifluoromethyl)-	6
Potassium 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-pentacosafluorododecane-1-sulphonate	6
Potassium henicosafluorodecanesulphonate	6
Ethane, 1,1'-sulfonylbis[1,1,2,2,2-pentafluoro-	6
1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-, ammonium salt	6
1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-, ammonium salt	6
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, lithium salt	6
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, potassium salt	6
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, potassium salt	6
PFOS-K	6
PFBS-K	6
PFHS-K	6
Lithium perfluorooctane sulfonate	6
2,2,3,3,4,4-Hexafluoro-4-sulfinobutanoic acid	7
3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononane-1-sulfonic acid	7
Dodecafluorohexane-1,6-disulfonyl difluoride	7
Octafluorobutane-1,4-disulfonyl difluoride	7
1,2,2,3,3,4-Hexafluorobutane-1,4-disulfonyl difluoride	7
1,1,2,2-Tetrafluoro-2-(2,2,2-trifluoroethoxy)ethane-1-sulfonic acid	7
1,1,2,2,3,3-Hexafluoropropyl sulfurofluoridate	7
2,2,3,3-Tetrafluoro-3-(fluorosulfonyl)propanoyl fluoride	7
2,2,3,3-Tetrafluoropropyl difluoromethanesulfonate	7
1,2,2,3,3,4,4,5,5,6-Decafluorohexane-1,6-disulfonyl difluoride	7
1,1,2,2-Tetrafluoro-2-hydroxyethane-1-sulfonyl fluoride	7
Heptafluoropropyl sulfurofluoridate	7
Butanoyl fluoride, 2,2,3,3,4,4-hexafluoro-4-(fluorosulfonyl)-	7
1,1,2,2,3,3-hexafluoropropane-1,3-disulfonyldifluoride	7
2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl trifluoromethanesulfonate	7
2,2,3,3-tetrafluoropropyl trifluoromethanesulfonate	7
2,2,3,3,4,4,4-heptafluorobutyl 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	7
Magnesium nonafluorobutanesulfonate	7
2,2,3,3,4,4,4-heptafluorobutyl trifluoromethanesulfonate	7
2,2,2-Trifluoroethyl Nonafluorobutanesulfonate	7
2,2,3,3,3-pentafluoropropyl trifluoromethanesulfonate	7
2,2,3,3,4,4,5,5-octafluoropentyl trifluoromethanesulfonate	7
Potassium 1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propanesulphonate	7
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid	7
1-Nonanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluoro-	7
1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-	7
1-Heptanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-	7
1-Hexanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-	7
Perfluorodecanesulphonyl fluoride	7
Ethanesulfonyl fluoride, pentafluoro-	7
1-Octanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-	7
1,1,1,2,2,3,3,4,4-Nonafluoro-4-(prop-1-ene-1-sulfonyl)butane	8
Sulfuric acid--2-bromo-1,1,2,2-tetrafluoroethan-1-ol (1/2)	8
Methanesulfonic acid--1,1,1,3,3,3-hexafluoropropan-2-ol (1/1)	8
1,1,2,2,3,3,4,4-Octafluoro-4-iodobutyl sulfurofluoridate	8
3-(Chlorosulfonyl)-2,2,3,3-tetrafluoropropanoyl chloride	8
2-Chloro-1,1,2,2-tetrafluoroethane-1-sulfonyl chloride	8
Difluoro(1,1,2,2-tetrafluoro-2-sulfoethoxy)acetic acid	8
2-Chloro-1,1,2,2-tetrafluoroethyl sulfurofluoridate	8
1,1,2,3,3,3-Hexafluoro-2-iodopropyl sulfurofluoridate	8
1,1,2,2-Tetrafluoro-2-iodoethyl sulfurofluoridate	8
Fluorosulfuric acid, 2-bromo-1,1,2,2-tetrafluoroethyl ester	8
Hexane, 1-(ethenylsulfonyl)-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-	8
2,3,3,3-Tetrafluoro-2-(fluorosulfonyl)propanoyl fluoride	8
