Chemical name	Distance (lower = more similar)
Perfluorododecanesulfonic acid (PFDOS)	0.0
1,1,2,2-tetrafluoroethanesulfonic Acid	0.0
1,1,2,3,3,3-hexafluoropropanesulfonic acid	0.0
Difluoromethanesulphonic acid	0.0
Perfluorononanesulfonic acid	0.0
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-	0.0
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-	0.0
Trifluoromethanesulfonic acid	0.0
PFDS	0.0
PFHxS	0.0
1-Perfluorobutanesulfonic acid	0.0
PFOS	0.0
1,1,2,3,3,3-Hexafluoro-2-(trifluoromethyl)propanesulphonic acid	0.03571428571428571
Trichloromethanesulfonic acid	0.07142857142857142
Dimethiodal	0.07142857142857142
Tribromomethanesulfonic acid	0.07142857142857142
Trifluoromethanesulfonic acid--water (2/1)	0.1
1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoronon-1-ene-1-sulfonic acid	0.1
Trifluoromethanesulfonic acid--water (1/5)	0.1
Trifluoromethanesulfonic acid--water (1/4)	0.1
Trifluoromethanesulfonic acid--water (1/6)	0.1
Trifluoromethanesulfonic acid--difluoroxenon (1/1)	0.1
Octafluorobutane-1,4-disulfonic acid--water (1/2)	0.1
1,1,2,2,3-Pentafluoropropane-1-sulfonic acid	0.1
Trifluoromethanesulfonic acid--water (1/1)	0.1
4-(Chlorosulfonyl)-1,1,2,2,3,3,4,4-octafluorobutane-1-sulfonic acid	0.1
Silyl trifluoromethanesulfonate	0.10344827586206896
Silyl nonafluorobutane-1-sulfonate	0.10344827586206896
Ethanesulfonic acid, 1-chloro-	0.10344827586206896
Perfluorobutanesulfonate	0.10714285714285714
Nonadecafluorononane-1-sulfonate	0.10714285714285714
Perfluorohexanesulfonate	0.10714285714285714
Perfluorodecanesulfonate	0.10714285714285714
Perfluorooctanesulfonate	0.10714285714285714
Trifluoromethanesulfonate	0.10714285714285714
Fluorosulfonic acid	0.10714285714285714
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonic acid	0.12903225806451613
1,1,3,3,3-Pentafluoro-2-oxopropane-1-sulfonic acid	0.12903225806451613
1,1,2,2-Tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonic acid	0.12903225806451613
1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, ammonium salt	0.12903225806451613
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, ammonium salt	0.12903225806451613
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, ammonium salt	0.12903225806451613
1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, ammonium salt	0.12903225806451613
1-Nonanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluoro-, ammonium salt	0.12903225806451613
3,3-Dichloroprop-1-ene-1-sulfonic acid	0.13793103448275862
Pentafluoroethyl trifluoromethanesulfonate	0.13793103448275862
Octafluorobutane-1,4-disulfinic acid	0.13793103448275862
Difluoromethyl difluoromethanesulfonate	0.13793103448275862
trifluoromethyl trifluoromethanesulfonate	0.13793103448275862
Trifluoromethanesulfonic acid--manganese (2/1)	0.15625
2,2,3,3-Tetrafluoro-3-sulfopropanoic acid	0.15625
3-(Trifluoromethyl)benzene-1-sulfonic acid	0.15625
2,2,3,3,4,4-Hexafluoro-4-sulfobutanoic acid	0.15625
2,2'-Oxybis(tetrafluoroethane-1-sulfonic acid)	0.15625
Ethanesulfonic acid, 2,2,2-trifluoro-	0.16129032258064516
Methylsulfenyl trifluoromethanesulfonate	0.16666666666666666
1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulphonic anhydride	0.16666666666666666
Sulfuriodidic acid	0.1724137931034483
Sulfurobromidic acid	0.1724137931034483
Chlorosulfuric acid	0.1724137931034483
Fluorosulfate radical	0.17857142857142858
3-Fluorobenzene-1-sulfonic acid	0.18181818181818182
Cyclohexanesulfonicacid, 1,2,2,3,3,4,5,5,6,6-decafluoro-4-(1,1,2,2,2-pentafluoroethyl)-	0.18181818181818182
Cyclohexanesulfonic acid, decafluoro(trifluoromethyl)-	0.18181818181818182
4-Fluorobenzenesulphonic acid	0.18181818181818182
Cerium(3+) trifluoromethanesulfonate--water (1/3/1)	0.1875
Lanthanum trifluoromethanesulfonate--water (1/3/1)	0.1875
Cerium(4+) trifluoromethanesulfonate--water (1/4/1)	0.1875
Yttrium trifluoromethanesulfonate--water (1/3/1)	0.1875
Ytterbium(3+) trifluoromethanesulfonate--water (1/3/1)	0.1875
Diiodomethanedisulfonic acid	0.1875
2,2-Diiodo-1,1-ethanedisulfonic acid	0.1875
1-Fluoro-3-hydroxy-1,1,3,3-tetraoxo-1lambda~6~,3lambda~6~-dithioxane	0.1935483870967742
Sodium trifluoromethanesulfonate	0.1935483870967742
Potassium trifluoromethanesulfonate	0.1935483870967742
Sodium heptadecafluorooctane-1-sulfonate	0.1935483870967742
Lithium nonafluorobutane-1-sulfonate	0.1935483870967742
Sodium 1,1,2,3,3,3-hexafluoropropane-1-sulfonate	0.1935483870967742
Ammonium trifluoromethanesulfonate	0.1935483870967742
vinyl triflate	0.1935483870967742
Vinyl nonafluoro-1-butanesulfonate	0.1935483870967742
Methyl nonaflate	0.1935483870967742
Potassium 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-pentacosafluorododecane-1-sulphonate	0.1935483870967742
Potassium henicosafluorodecanesulphonate	0.1935483870967742
1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-, ammonium salt	0.1935483870967742
1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-, ammonium salt	0.1935483870967742
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, lithium salt	0.1935483870967742
1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-, potassium salt	0.1935483870967742
Methanesulfonic acid, trifluoro-, silver(1+) salt	0.1935483870967742
1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, potassium salt	0.1935483870967742
Methyl trifluoromethanesulfonate	0.1935483870967742
Lithium trifluoromethanesulfonate	0.1935483870967742
PFOS-K	0.1935483870967742
PFBS-K	0.1935483870967742
PFHS-K	0.1935483870967742
Lithium perfluorooctane sulfonate	0.1935483870967742
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfinic acid	0.2
Propane-2-sulphonic acid	0.2
1,1,2,2-Tetrafluoro-2-(2,2,2-trifluoroethoxy)ethane-1-sulfonic acid	0.20588235294117646
difluorosulfoacetic acid	0.20588235294117646
Tetrasulfane-1-sulfonic acid	0.20689655172413793
Buta-1,3-diene-1-sulfonic acid	0.20689655172413793
Fluorosulfate	0.20689655172413793
Ethenesulfonic acid	0.20689655172413793
Methanesulfonic acid	0.20689655172413793
3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononane-1-sulfonic acid	0.21212121212121213
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid	0.21212121212121213
1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-	0.21212121212121213
Sulfuric acid--trifluoromethanol (1/2)	0.21875
2,2,3,3,4,4-Hexafluoro-4-sulfinobutanoic acid	0.21875
(~13~C)Methyl trifluoromethanesulfonate	0.21875
Holmium tris(trifluoromethanesulfonate)	0.21875
(~2~H_3_)Methyl trifluoromethanesulfonate	0.21875
2,2,3,3-Tetrafluoropropyl difluoromethanesulfonate	0.21875
Terbium(III) trifluoromethanesulfonate	0.21875
Iron(III) trifluoromethanesulfonate	0.21875
Erbium(III) trifluoromethanesulfonate	0.21875
Lutetium(III) trifluoromethanesulfonate	0.21875
AG-G-90691	0.21875
2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl trifluoromethanesulfonate	0.21875
Samarium(III) trifluoromethanesulfonate	0.21875
europium trifluoromethanesulfonate	0.21875
Dysprosium(III) trifluoromethanesulfonate	0.21875
Nickel(II) Trifluoromethanesulfonate	0.21875
Cerium(IV) trifluoromethanesulfonate	0.21875
Bismuth(III) trifluoromethanesulfonate	0.21875
Praseodymium(III) trifluoromethanesulfonate	0.21875
2,2,3,3-tetrafluoropropyl trifluoromethanesulfonate	0.21875
2,2,3,3,4,4,4-heptafluorobutyl 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	0.21875
Magnesium nonafluorobutanesulfonate	0.21875
2,2,3,3,4,4,4-heptafluorobutyl trifluoromethanesulfonate	0.21875
2,2,2-Trifluoroethyl Nonafluorobutanesulfonate	0.21875
2,2-difluoroethyl trifluoromethanesulfonate	0.21875
2,2,3,3,3-pentafluoropropyl trifluoromethanesulfonate	0.21875
Tin(II) trifluoromethanesulfonate	0.21875
Mercury(II) trifluoromethanesulfonate	0.21875
2,2,3,3,4,4,5,5-octafluoropentyl trifluoromethanesulfonate	0.21875
Magnesium trifluoromethanesulfonate	0.21875
Ytterbium(3+) tris(trifluoromethanesulfonate)	0.21875
Lanthanum tris(trifluoromethanesulfonate)	0.21875
Cerium(III) Triflate	0.21875
Indium(III) trifluoromethanesulfonate	0.21875
Scandium(III) triflate	0.21875
Thulium(III) trifluoromethanesulfonate	0.21875
Yttrium(III) trifluoromethanesulfonate	0.21875
Neodymium(III) trifluoromethanesulfonate	0.21875
GALLIUM(III) TRIFLUOROMETHANESULFONATE	0.21875
Potassium 1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propanesulphonate	0.21875
Methanesulfonic acid, trifluoro-, 2,2,2-trifluoroethyl ester	0.21875
Methanesulfonic acid, trifluoro-, calcium salt	0.21875
Methanesulfonic acid, trifluoro-, zinc salt	0.21875
Methanesulfonic acid, trifluoro-, barium salt	0.21875
Propane, 1,1,1,2,3,3,3-heptafluoro-2-[(trifluoromethyl)sulfonyl]-	0.2222222222222222
Ethane, 1,1'-sulfonylbis[1,1,2,2,2-pentafluoro-	0.2222222222222222
Cyclopropanesulfonic Acid	0.22580645161290322
Ethanesulfonic acid, 1-oxo-	0.22580645161290322
Methanetrisulphonic acid	0.22580645161290322
4'-(Trifluoromethyl)[1,1'-biphenyl]-4-sulfonic acid	0.22857142857142856
2-Fluorobenzene-1-sulfonic acid	0.22857142857142856
3,4-Difluorobenzene-1-sulfonic acid	0.22857142857142856
2,4-Difluorobenzene-1-sulfonic acid	0.22857142857142856
Difluoro(1,1,2,2-tetrafluoro-2-sulfoethoxy)acetic acid	0.22857142857142856
2,3,5,6-Tetrafluorobenzene-1-sulfonic acid	0.22857142857142856
2,3,4,5-Tetrafluorobenzene-1-sulfonic acid	0.22857142857142856
Ethanesulfonic acid, 1,1,2,2-tetrafluoro-2-((trifluoroethenyl)oxy)-, polymer with tetrafluoroethene	0.22857142857142856
1,1,2,2,3,3-Hexafluoropropyl sulfurofluoridate	0.23333333333333334
1,1,2,2-Tetrafluoro-2-hydroxyethane-1-sulfonyl fluoride	0.23333333333333334
Heptafluoropropyl sulfurofluoridate	0.23333333333333334
Tetrathioic acid	0.23333333333333334
Dimethylsilyl trifluoromethanesulfonate	0.23529411764705882
Methanesulfonic acid--1,1,1,3,3,3-hexafluoropropan-2-ol (1/1)	0.23529411764705882
3-Bromobenzene-1-sulfonic acid	0.23529411764705882
3,5-dichlorobenzenesulfonic Acid	0.23529411764705882
3-iodobenzenesulfonic Acid	0.23529411764705882
4-Chlorobenzenesulfonic acid	0.23529411764705882
1,2-Bis(trifluoromethanesulfonyl)ethene	0.2413793103448276
Dodecafluorohexane-1,6-disulfonyl difluoride	0.2413793103448276
Octafluorobutane-1,4-disulfonyl difluoride	0.2413793103448276
1,2,2,3,3,4-Hexafluorobutane-1,4-disulfonyl difluoride	0.2413793103448276
2,2,3,3-Tetrafluoro-3-(fluorosulfonyl)propanoyl fluoride	0.2413793103448276
1,2,2,3-Tetrafluoropropane-1,3-disulfonyl difluoride	0.2413793103448276
Fluoro[tris(trifluoromethanesulfonyl)]methane	0.2413793103448276
1,2,2,3,3,4,4,5,5,6-Decafluorohexane-1,6-disulfonyl difluoride	0.2413793103448276
